beta,delta,mape
0.6808,0.5860,0.18218915164470673
0.6808,0.6176,0.11755398660898209
0.6808,0.6492,0.11090779304504395
0.6808,0.6808,0.12052274495363235
0.6808,0.7124,0.1384686678647995
0.6808,0.7440,0.15895098447799683
0.6808,0.7756,0.17863623797893524
0.6808,0.8072,0.1939389407634735
0.6808,0.8388,0.20812362432479858
0.6808,0.8704,0.26083648204803467
0.6808,0.9020,0.2392059564590454
0.6808,0.9336,0.20499871671199799
0.6808,0.9652,0.16799624264240265
0.6808,0.9968,0.15582774579524994
0.6808,1.0284,5.822235107421875
0.6808,1.0600,6.279836177825928
0.6808,1.0916,6.7409772872924805
0.6808,1.1232,7.205175876617432
0.6808,1.1548,7.557348728179932
0.6808,1.1864,8.00737190246582
0.6808,1.2180,8.436468124389648
0.7124,0.2700,0.13352397084236145
0.7124,0.3016,0.10941118746995926
0.7124,0.3332,0.11317122727632523
0.7124,0.3648,0.13303683698177338
0.7124,0.3964,0.1187271699309349
0.7124,0.4280,0.08933773636817932
0.7124,0.4596,0.06563171744346619
0.7124,0.4912,0.05468321219086647
0.7124,0.5228,0.062411848455667496
0.7124,0.5544,0.058809489011764526
0.7124,0.5860,0.06248897314071655
0.7124,0.6176,0.2818509340286255
0.7124,0.6492,0.16662824153900146
0.7124,0.6808,0.1635495275259018
0.7124,0.7124,0.17867490649223328
0.7124,0.7440,0.200001060962677
0.7124,0.7756,0.2220182716846466
0.7124,0.8072,0.2417929768562317
0.7124,0.8388,0.25786319375038147
0.7124,0.8704,0.2699902355670929
0.7124,0.9020,0.2662534713745117
0.7124,0.9336,0.2758549153804779
0.7124,0.9652,0.22292977571487427
0.7124,0.9968,0.19246070086956024
0.7124,1.0284,0.18316078186035156
0.7124,1.0600,0.18464960157871246
0.7124,1.0916,7.070633411407471
0.7124,1.1232,7.639949321746826
0.7124,1.1548,8.22890567779541
0.7124,1.1864,8.45689868927002
0.7124,1.2180,8.979354858398438
0.7440,0.2700,0.144187793135643
0.7440,0.3016,0.0982741117477417
0.7440,0.3332,0.08430210500955582
0.7440,0.3648,0.09432519972324371
0.7440,0.3964,0.0888984277844429
0.7440,0.4280,0.08263865113258362
0.7440,0.4596,0.07758612930774689
0.7440,0.4912,0.062328677624464035
0.7440,0.5228,0.06156536564230919
0.7440,0.5544,0.9914633631706238
0.7440,0.5860,0.05983710289001465
0.7440,0.6176,1.1285207271575928
0.7440,0.6492,0.24155449867248535
0.7440,0.6808,0.24358955025672913
0.7440,0.7124,0.2539987564086914
0.7440,0.7440,0.2738066613674164
0.7440,0.7756,0.2984161674976349
0.7440,0.8072,0.3246714770793915
0.7440,0.8388,0.2791670858860016
0.7440,0.8704,0.2697729766368866
0.7440,0.9020,0.25743311643600464
0.7440,0.9336,0.24240368604660034
0.7440,0.9652,0.23191407322883606
0.7440,0.9968,0.21716518700122833
0.7440,1.0284,0.19853690266609192
0.7440,1.0600,0.20336776971817017
0.7440,1.0916,0.22388051450252533
0.7440,1.1232,0.25455957651138306
0.7440,1.1548,0.25663018226623535
0.7440,1.1864,8.814738273620605
0.7440,1.2180,9.236069679260254
0.7756,0.2700,0.15976594388484955
0.7756,0.3016,0.08737702667713165
0.7756,0.3332,0.060033611953258514
0.7756,0.3648,0.058453693985939026
0.7756,0.3964,0.06482847034931183
0.7756,0.4280,0.0766802728176117
0.7756,0.4596,0.08222044259309769
0.7756,0.4912,0.07979096472263336
0.7756,0.5228,0.06422334909439087
0.7756,0.5544,0.05402378365397453
0.7756,0.5860,0.05231935530900955
0.7756,0.6176,0.0681610032916069
0.7756,0.6492,0.16676682233810425
0.7756,0.6808,0.18635429441928864
0.7756,0.7124,0.206157848238945
0.7756,0.7440,0.22596803307533264
0.7756,0.7756,0.24515199661254883
0.7756,0.8072,0.2602301239967346
0.7756,0.8388,0.2718098759651184
0.7756,0.8704,0.2794063091278076
0.7756,0.9020,0.27859777212142944
0.7756,0.9336,0.2724972367286682
0.7756,0.9652,0.2566472589969635
0.7756,0.9968,0.2462897151708603
0.7756,1.0284,0.24163033068180084
0.7756,1.0600,0.24103805422782898
0.7756,1.0916,0.24448999762535095
0.7756,1.1232,0.25472742319107056
0.7756,1.1548,0.29751724004745483
0.7756,1.1864,0.3318333327770233
0.7756,1.2180,0.4601832330226898
0.8072,0.2700,0.20163820683956146
0.8072,0.3016,0.10594170540571213
0.8072,0.3332,0.06259935349225998
0.8072,0.3648,0.05183132365345955
0.8072,0.3964,0.062038715928792953
0.8072,0.4280,0.08014848828315735
0.8072,0.4596,0.08709856122732162
0.8072,0.4912,0.08573891967535019
0.8072,0.5228,0.07969372719526291
0.8072,0.5544,0.06708486378192902
0.8072,0.5860,0.050084784626960754
0.8072,0.6176,0.05407290533185005
0.8072,0.6492,0.08019465953111649
0.8072,0.6808,0.10590856522321701
0.8072,0.7124,0.12993039190769196
0.8072,0.7440,0.15486399829387665
0.8072,0.7756,0.17841392755508423
0.8072,0.8072,0.19857168197631836
0.8072,0.8388,0.2157737761735916
0.8072,0.8704,0.23460344970226288
0.8072,0.9020,0.2543947398662567
0.8072,0.9336,0.26646193861961365
0.8072,0.9652,0.26581886410713196
0.8072,0.9968,0.24346569180488586
0.8072,1.0284,0.25541800260543823
0.8072,1.0600,0.2721392512321472
0.8072,1.0916,0.29512864351272583
0.8072,1.1232,0.3099842071533203
0.8072,1.1548,0.34957247972488403
0.8072,1.1864,0.40670716762542725
0.8072,1.2180,0.46310359239578247
0.8388,0.2700,0.2556712031364441
0.8388,0.3016,0.16655868291854858
0.8388,0.3332,0.11607157438993454
0.8388,0.3648,0.09003227204084396
0.8388,0.3964,0.0930243507027626
0.8388,0.4280,0.1023498922586441
0.8388,0.4596,0.09965237975120544
0.8388,0.4912,0.09181507676839828
0.8388,0.5228,0.08722414821386337
0.8388,0.5544,0.08169317245483398
0.8388,0.5860,0.0629100501537323
0.8388,0.6176,0.05922237038612366
0.8388,0.6492,0.0690181627869606
0.8388,0.6808,0.08280004560947418
0.8388,0.7124,0.09794017672538757
0.8388,0.7440,0.11640416085720062
0.8388,0.7756,0.1399436742067337
0.8388,0.8072,0.15559141337871552
0.8388,0.8388,0.1718144416809082
0.8388,0.8704,0.19311939179897308
0.8388,0.9020,0.2160312533378601
0.8388,0.9336,0.23954792320728302
0.8388,0.9652,0.25759607553482056
0.8388,0.9968,0.26623865962028503
0.8388,1.0284,0.2663567364215851
0.8388,1.0600,0.2592712342739105
0.8388,1.0916,0.31682929396629333
0.8388,1.1232,0.3450198769569397
0.8388,1.1548,0.3803541362285614
0.8388,1.1864,0.4321804642677307
0.8388,1.2180,0.5062406063079834
0.8704,0.2700,0.3417493999004364
0.8704,0.3016,0.2492862492799759
0.8704,0.3332,0.18331575393676758
0.8704,0.3648,0.14719527959823608
0.8704,0.3964,0.13514256477355957
0.8704,0.4280,0.13079065084457397
0.8704,0.4596,0.1128726378083229
0.8704,0.4912,0.09606969356536865
0.8704,0.5228,0.08813182264566422
0.8704,0.5544,0.08773455768823624
0.8704,0.5860,0.07308448106050491
0.8704,0.6176,0.07860606163740158
0.8704,0.6492,0.09359507262706757
0.8704,0.6808,0.10438114404678345
0.8704,0.7124,0.11362739652395248
0.8704,0.7440,0.12311938405036926
0.8704,0.7756,0.13718779385089874
0.8704,0.8072,0.1494603008031845
0.8704,0.8388,0.15999113023281097
0.8704,0.8704,0.17475160956382751
0.8704,0.9020,0.19232060015201569
0.8704,0.9336,0.2084769755601883
0.8704,0.9652,0.2228802889585495
0.8704,0.9968,0.2389429807662964
0.8704,1.0284,0.262484073638916
0.8704,1.0600,0.2879113554954529
0.8704,1.0916,0.3061322569847107
0.8704,1.1232,0.37019866704940796
0.8704,1.1548,0.40741145610809326
0.8704,1.1864,0.4532485008239746
0.8704,1.2180,0.5344570875167847
0.9020,0.2700,0.4684508442878723
0.9020,0.3016,0.34554681181907654
0.9020,0.3332,0.26303333044052124
0.9020,0.3648,0.2105223387479782
0.9020,0.3964,0.1875828355550766
0.9020,0.4280,0.1605837643146515
0.9020,0.4596,0.12997302412986755
0.9020,0.4912,0.10566216707229614
0.9020,0.5228,0.09374985843896866
0.9020,0.5544,0.09523193538188934
0.9020,0.5860,0.08702833950519562
0.9020,0.6176,0.10010553896427155
0.9020,0.6492,0.1160067468881607
0.9020,0.6808,0.12344729155302048
0.9020,0.7124,0.13360874354839325
0.9020,0.7440,0.14353294670581818
0.9020,0.7756,0.156295046210289
0.9020,0.8072,0.16851824522018433
0.9020,0.8388,0.17929157614707947
0.9020,0.8704,0.1904301792383194
0.9020,0.9020,0.20206505060195923
0.9020,0.9336,0.20886540412902832
0.9020,0.9652,0.21599821746349335
0.9020,0.9968,0.22305327653884888
0.9020,1.0284,0.24489516019821167
0.9020,1.0600,0.2804954946041107
0.9020,1.0916,0.31873011589050293
0.9020,1.1232,0.3531195819377899
0.9020,1.1548,0.4258989989757538
0.9020,1.1864,0.47860845923423767
0.9020,1.2180,0.535814642906189
0.9336,0.2700,0.6066974997520447
0.9336,0.3016,0.45179858803749084
0.9336,0.3332,0.3482478857040405
0.9336,0.3648,0.2864585518836975
0.9336,0.3964,0.24104629456996918
0.9336,0.4280,0.1953016072511673
0.9336,0.4596,0.15013942122459412
0.9336,0.4912,0.11564284563064575
0.9336,0.5228,0.09956368058919907
0.9336,0.5544,0.10291673243045807
0.9336,0.5860,0.1024736762046814
0.9336,0.6176,0.12362116575241089
0.9336,0.6492,0.13777270913124084
0.9336,0.6808,0.14721223711967468
0.9336,0.7124,0.15930797159671783
0.9336,0.7440,0.17195045948028564
0.9336,0.7756,0.18806640803813934
0.9336,0.8072,0.20177099108695984
0.9336,0.8388,0.21228842437267303
0.9336,0.8704,0.22501108050346375
0.9336,0.9020,0.23841321468353271
0.9336,0.9336,0.24542281031608582
0.9336,0.9652,0.24894382059574127
0.9336,0.9968,0.2541603446006775
0.9336,1.0284,0.26820260286331177
0.9336,1.0600,0.28427985310554504
0.9336,1.0916,0.3166637420654297
0.9336,1.1232,0.36210963129997253
0.9336,1.1548,0.40849417448043823
0.9336,1.1864,0.49005088210105896
0.9336,1.2180,0.5605039596557617
0.9652,0.2700,0.769996166229248
0.9652,0.3016,0.5750406980514526
0.9652,0.3332,0.4470793604850769
0.9652,0.3648,0.36196979880332947
0.9652,0.3964,0.3021412789821625
0.9652,0.4280,0.23358213901519775
0.9652,0.4596,0.17289084196090698
0.9652,0.4912,0.12856543064117432
0.9652,0.5228,0.10948122292757034
0.9652,0.5544,0.10655612498521805
0.9652,0.5860,0.11822778731584549
0.9652,0.6176,0.14404670894145966
0.9652,0.6492,0.15933528542518616
0.9652,0.6808,0.1736672967672348
0.9652,0.7124,0.189419686794281
0.9652,0.7440,0.20241402089595795
0.9652,0.7756,0.22188866138458252
0.9652,0.8072,0.23950543999671936
0.9652,0.8388,0.25372305512428284
0.9652,0.8704,0.2674693167209625
0.9652,0.9020,0.2860996723175049
0.9652,0.9336,0.24764388799667358
0.9652,0.9652,0.25562986731529236
0.9652,0.9968,0.2703782320022583
0.9652,1.0284,0.30901795625686646
0.9652,1.0600,0.32068610191345215
0.9652,1.0916,0.3376772105693817
0.9652,1.1232,0.3698307275772095
0.9652,1.1548,0.4177722632884979
0.9652,1.1864,0.4735766053199768
0.9652,1.2180,0.5678849816322327
0.9968,0.2700,0.9458344578742981
0.9968,0.3016,0.711796224117279
0.9968,0.3332,0.5503267049789429
0.9968,0.3648,0.43951326608657837
0.9968,0.3964,0.34701967239379883
0.9968,0.4280,0.26858460903167725
0.9968,0.4596,0.20756292343139648
0.9968,0.4912,0.15122804045677185
0.9968,0.5228,0.11703422665596008
0.9968,0.5544,0.10860201716423035
0.9968,0.5860,0.13245214521884918
0.9968,0.6176,0.16349993646144867
0.9968,0.6492,0.18155443668365479
0.9968,0.6808,0.20163393020629883
0.9968,0.7124,0.22261686623096466
0.9968,0.7440,0.24119897186756134
0.9968,0.7756,0.2669517397880554
0.9968,0.8072,0.2900651693344116
0.9968,0.8388,0.30906549096107483
0.9968,0.8704,0.3259083032608032
0.9968,0.9020,0.27874958515167236
0.9968,0.9336,0.2856202721595764
0.9968,0.9652,0.29170721769332886
0.9968,0.9968,0.3075462877750397
0.9968,1.0284,0.32123133540153503
0.9968,1.0600,0.3334076702594757
0.9968,1.0916,0.3572099804878235
0.9968,1.1232,0.396819144487381
0.9968,1.1548,0.43841445446014404
0.9968,1.1864,0.4923989176750183
0.9968,1.2180,0.5770077705383301
1.0284,0.2700,1.136005163192749
1.0284,0.3016,0.8605318665504456
1.0284,0.3332,0.6620674133300781
1.0284,0.3648,0.5220096111297607
1.0284,0.3964,0.4020681381225586
1.0284,0.4280,0.3058331608772278
1.0284,0.4596,0.2197893112897873
1.0284,0.4912,0.15673886239528656
1.0284,0.5228,0.12596569955348969
1.0284,0.5544,0.11026152968406677
1.0284,0.5860,0.1437567174434662
1.0284,0.6176,0.18154874444007874
1.0284,0.6492,0.20518100261688232
1.0284,0.6808,0.23173975944519043
1.0284,0.7124,0.25823667645454407
1.0284,0.7440,0.284082293510437
1.0284,0.7756,0.3159993290901184
1.0284,0.8072,0.34454119205474854
1.0284,0.8388,0.3690461218357086
1.0284,0.8704,0.31230586767196655
1.0284,0.9020,0.31959956884384155
1.0284,0.9336,0.322449266910553
1.0284,0.9652,0.32888028025627136
1.0284,0.9968,0.34700554609298706
1.0284,1.0284,0.36190757155418396
1.0284,1.0600,0.3750535249710083
1.0284,1.0916,0.3884863257408142
1.0284,1.1232,0.42293357849121094
1.0284,1.1548,0.4717154800891876
1.0284,1.1864,0.5282796025276184
1.0284,1.2180,0.6122164130210876
1.0600,0.2700,1.3466206789016724
1.0600,0.3016,1.0200729370117188
1.0600,0.3332,0.7806823253631592
1.0600,0.3648,0.6000904440879822
1.0600,0.3964,0.46220389008522034
1.0600,0.4280,0.34817028045654297
1.0600,0.4596,0.24597765505313873
1.0600,0.4912,0.16988489031791687
1.0600,0.5228,0.11986708641052246
1.0600,0.5544,0.11350242048501968
1.0600,0.5860,0.15399879217147827
1.0600,0.6176,0.19787085056304932
1.0600,0.6492,0.22948938608169556
1.0600,0.6808,0.26500269770622253
1.0600,0.7124,0.2969549596309662
1.0600,0.7440,0.33164286613464355
1.0600,0.7756,0.36918187141418457
1.0600,0.8072,0.4028819799423218
1.0600,0.8388,0.4332835376262665
1.0600,0.8704,0.3611959218978882
1.0600,0.9020,0.36403965950012207
1.0600,0.9336,0.3611001968383789
1.0600,0.9652,0.37316685914993286
1.0600,0.9968,0.39264923334121704
1.0600,1.0284,0.40926581621170044
1.0600,1.0600,0.41771969199180603
1.0600,1.0916,0.43434378504753113
1.0600,1.1232,0.466869056224823
1.0600,1.1548,0.5155988931655884
1.0600,1.1864,0.6670235395431519
1.0600,1.2180,0.7650032043457031
1.0916,0.2700,1.5745267868041992
1.0916,0.3016,1.1844490766525269
1.0916,0.3332,0.9092018604278564
1.0916,0.3648,0.691117525100708
1.0916,0.3964,0.5292773246765137
1.0916,0.4280,0.38527828454971313
1.0916,0.4596,0.27032116055488586
1.0916,0.4912,0.1827627420425415
1.0916,0.5228,0.11892414093017578
1.0916,0.5544,0.1027989313006401
1.0916,0.5860,0.15470007061958313
1.0916,0.6176,0.20474116504192352
1.0916,0.6492,0.2359454333782196
1.0916,0.6808,0.2741624116897583
1.0916,0.7124,0.29633063077926636
1.0916,0.7440,0.3394792675971985
1.0916,0.7756,0.38161587715148926
1.0916,0.8072,0.41806715726852417
1.0916,0.8388,0.37274372577667236
1.0916,0.8704,0.37913164496421814
1.0916,0.9020,0.36665984988212585
1.0916,0.9336,0.38616061210632324
1.0916,0.9652,0.38058361411094666
1.0916,0.9968,0.4009708762168884
1.0916,1.0284,0.42046356201171875
1.0916,1.0600,0.42445188760757446
1.0916,1.0916,0.4706180989742279
1.0916,1.1232,0.5104444622993469
1.0916,1.1548,0.5805292129516602
1.0916,1.1864,0.6768147349357605
1.0916,1.2180,0.7951706051826477
1.1232,0.2700,1.8013272285461426
1.1232,0.3016,1.3533604145050049
1.1232,0.3332,1.033100962638855
1.1232,0.3648,0.7852004766464233
1.1232,0.3964,0.6165474653244019
1.1232,0.4280,0.44205695390701294
1.1232,0.4596,0.3109774887561798
1.1232,0.4912,0.21007199585437775
1.1232,0.5228,0.13775458931922913
1.1232,0.5544,0.10950258374214172
1.1232,0.5860,0.15944446623325348
1.1232,0.6176,0.21793779730796814
1.1232,0.6492,0.26390865445137024
1.1232,0.6808,0.309454083442688
1.1232,0.7124,0.354996919631958
1.1232,0.7440,0.3903195261955261
1.1232,0.7756,0.43846482038497925
1.1232,0.8072,0.49221256375312805
1.1232,0.8388,0.44883984327316284
1.1232,0.8704,0.4561346471309662
1.1232,0.9020,0.4627182185649872
1.1232,0.9336,0.4617682993412018
1.1232,0.9652,0.4891962707042694
1.1232,0.9968,0.4978378415107727
1.1232,1.0284,0.48752185702323914
1.1232,1.0600,0.49807363748550415
1.1232,1.0916,0.5177870988845825
1.1232,1.1232,0.5973570346832275
1.1232,1.1548,0.6549189686775208
1.1232,1.1864,0.748664379119873
1.1232,1.2180,0.878308892250061
1.1548,0.2700,2.0389511585235596
1.1548,0.3016,1.5266811847686768
1.1548,0.3332,1.1601650714874268
1.1548,0.3648,0.8799696564674377
1.1548,0.3964,0.654815673828125
1.1548,0.4280,0.5156351923942566
1.1548,0.4596,0.3608779311180115
1.1548,0.4912,0.2674201726913452
1.1548,0.5228,0.19694899022579193
1.1548,0.5544,0.1552833467721939
1.1548,0.5860,0.17258796095848083
1.1548,0.6176,0.2385822832584381
1.1548,0.6492,0.2958970069885254
1.1548,0.6808,0.35426706075668335
1.1548,0.7124,0.4066881537437439
1.1548,0.7440,0.45288485288619995
1.1548,0.7756,0.5199424028396606
1.1548,0.8072,0.5811328887939453
1.1548,0.8388,0.5340580344200134
1.1548,0.8704,0.5501772165298462
1.1548,0.9020,0.5712286829948425
1.1548,0.9336,0.5845351219177246
1.1548,0.9652,0.6113514304161072
1.1548,0.9968,0.6023069024085999
1.1548,1.0284,0.6045171618461609
1.1548,1.0600,0.6150224208831787
1.1548,1.0916,0.6344595551490784
1.1548,1.1232,0.6940488815307617
1.1548,1.1548,0.7623686790466309
1.1548,1.1864,0.8623319864273071
1.1548,1.2180,0.9803353548049927
1.1864,0.2700,2.2740235328674316
1.1864,0.3016,1.6995007991790771
1.1864,0.3332,1.2884926795959473
1.1864,0.3648,0.9819251298904419
1.1864,0.3964,0.7504358291625977
1.1864,0.4280,0.5564194321632385
1.1864,0.4596,0.45712751150131226
1.1864,0.4912,0.3504931926727295
1.1864,0.5228,0.27134403586387634
1.1864,0.5544,0.2321993112564087
1.1864,0.5860,0.22962145507335663
1.1864,0.6176,0.27301889657974243
1.1864,0.6492,0.341499388217926
1.1864,0.6808,0.40518268942832947
1.1864,0.7124,0.4609118402004242
1.1864,0.7440,0.5294464230537415
1.1864,0.7756,0.6010308265686035
1.1864,0.8072,0.6714475154876709
1.1864,0.8388,0.6266700625419617
1.1864,0.8704,0.6670377850532532
1.1864,0.9020,0.6989514231681824
1.1864,0.9336,0.7264090776443481
1.1864,0.9652,0.7432588934898376
1.1864,0.9968,0.7342529892921448
1.1864,1.0284,0.7419665455818176
1.1864,1.0600,0.7469374537467957
1.1864,1.0916,0.7809428572654724
1.1864,1.1232,0.8386787176132202
1.1864,1.1548,0.9154425859451294
1.1864,1.1864,1.0115458965301514
1.1864,1.2180,1.130786657333374
1.2180,0.2700,2.513063669204712
1.2180,0.3016,1.8761577606201172
1.2180,0.3332,1.4151923656463623
1.2180,0.3648,1.090786099433899
1.2180,0.3964,0.8527910709381104
1.2180,0.4280,0.6659187078475952
1.2180,0.4596,0.5441456437110901
1.2180,0.4912,0.4512263834476471
1.2180,0.5228,0.3677397072315216
1.2180,0.5544,0.32314592599868774
1.2180,0.5860,0.3190745711326599
1.2180,0.6176,0.34414705634117126
1.2180,0.6492,0.4066292643547058
1.2180,0.6808,0.4725736081600189
1.2180,0.7124,0.5440740585327148
1.2180,0.7440,0.6180921196937561
1.2180,0.7756,0.690329909324646
1.2180,0.8072,0.7751297950744629
1.2180,0.8388,0.7540261745452881
1.2180,0.8704,0.7959747910499573
1.2180,0.9020,0.8368328809738159
1.2180,0.9336,0.8727823495864868
1.2180,0.9652,0.8811279535293579
1.2180,0.9968,0.8927707672119141
1.2180,1.0284,0.9121080636978149
1.2180,1.0600,0.9029993414878845
1.2180,1.0916,0.947060763835907
1.2180,1.1232,1.0097905397415161
1.2180,1.1548,1.0988976955413818
1.2180,1.1864,1.216181993484497
1.2180,1.2180,1.3629802465438843
